2026/09/12 13:19:08.146, 62, 2392 MHz, 94 %, 0 %, 28.71 W
2026/09/12 13:19:19.244, 62, 2392 MHz, 94 %, 0 %, 28.57 W
2026/09/12 13:19:30.338, 62, 2392 MHz, 93 %, 0 %, 28.55 W
2026/09/12 13:19:41.430, 62, 2392 MHz, 94 %, 0 %, 28.61 W
2026/09/12 13:19:52.522, 62, 2392 MHz, 94 %, 0 %, 28.69 W
2026/09/12 13:20:03.618, 62, 2392 MHz, 94 %, 0 %, 28.59 W
2026/09/12 13:20:14.715, 62, 2392 MHz, 94 %, 0 %, 29.21 W
2026/09/12 13:20:25.802, 62, 2392 MHz, 93 %, 0 %, 28.57 W
2026/09/12 13:20:36.896, 62, 2392 MHz, 94 %, 0 %, 28.93 W
2026/09/12 13:20:47.990, 62, 2392 MHz, 94 %, 0 %, 28.52 W
2026/09/12 13:20:59.094, 63, 2392 MHz, 95 %, 0 %, 29.23 W
2026/09/12 13:21:10.194, 62, 2392 MHz, 93 %, 0 %, 28.72 W
2026/09/12 13:21:21.301, 62, 2392 MHz, 94 %, 0 %, 28.72 W
2026/09/12 13:21:32.398, 62, 2392 MHz, 95 %, 0 %, 28.75 W
2026/09/12 13:21:43.494, 62, 2392 MHz, 93 %, 0 %, 29.38 W
2026/09/12 13:21:54.591, 62, 2392 MHz, 95 %, 0 %, 28.63 W
2026/09/12 13:22:05.689, 62, 2392 MHz, 94 %, 0 %, 28.77 W
2026/09/12 13:22:16.785, 62, 2392 MHz, 94 %, 0 %, 28.93 W
2026/09/12 13:22:27.886, 62, 2392 MHz, 94 %, 0 %, 28.80 W
2026/09/12 13:22:38.980, 62, 2392 MHz, 94 %, 0 %, 28.93 W
2026/09/12 13:22:50.079, 62, 2392 MHz, 94 %, 0 %, 28.76 W
2026/09/12 13:23:01.175, 62, 2392 MHz, 94 %, 0 %, 28.66 W
2026/09/12 13:23:12.271, 62, 2392 MHz, 94 %, 0 %, 28.69 W
2026/09/12 13:23:23.368, 62, 2392 MHz, 94 %, 0 %, 28.97 W
2026/09/12 13:23:34.459, 62, 2392 MHz, 95 %, 0 %, 29.95 W
2026/09/12 13:23:45.559, 62, 2392 MHz, 94 %, 0 %, 28.92 W
2026/09/12 13:23:56.660, 62, 2392 MHz, 93 %, 0 %, 28.99 W
2026/09/12 13:24:07.763, 62, 2392 MHz, 93 %, 0 %, 28.55 W
2026/09/12 13:24:18.851, 62, 2392 MHz, 95 %, 0 %, 29.96 W
2026/09/12 13:24:29.950, 62, 2392 MHz, 93 %, 0 %, 28.76 W
2026/09/12 13:24:41.055, 62, 2392 MHz, 93 %, 0 %, 28.58 W
2026/09/12 13:24:52.152, 62, 2392 MHz, 94 %, 0 %, 28.64 W
2026/09/12 13:25:03.242, 62, 2392 MHz, 94 %, 0 %, 28.83 W
2026/09/12 13:25:14.343, 62, 2392 MHz, 94 %, 0 %, 28.94 W
2026/09/12 13:25:25.433, 61, 2392 MHz, 93 %, 0 %, 28.43 W
2026/09/12 13:25:36.523, 62, 2392 MHz, 94 %, 0 %, 28.73 W
2026/09/12 13:25:47.616, 62, 2392 MHz, 94 %, 0 %, 28.62 W
2026/09/12 13:25:58.707, 62, 2392 MHz, 94 %, 0 %, 28.66 W
2026/09/12 13:26:09.801, 62, 2392 MHz, 94 %, 0 %, 28.79 W
2026/09/12 13:26:20.897, 62, 2392 MHz, 94 %, 0 %, 28.82 W
2026/09/12 13:26:31.994, 62, 2392 MHz, 94 %, 0 %, 28.52 W
2026/09/12 13:26:43.085, 62, 2392 MHz, 94 %, 0 %, 28.80 W
2026/09/12 13:26:54.171, 61, 2392 MHz, 94 %, 0 %, 28.66 W
2026/09/12 13:27:05.271, 61, 2392 MHz, 94 %, 0 %, 28.60 W
2026/09/12 13:27:16.373, 62, 2392 MHz, 94 %, 0 %, 28.64 W
2026/09/12 13:27:27.478, 62, 2392 MHz, 93 %, 0 %, 28.71 W
2026/09/12 13:27:38.574, 62, 2392 MHz, 95 %, 0 %, 28.78 W
2026/09/12 13:27:49.665, 62, 2392 MHz, 94 %, 0 %, 28.92 W
2026/09/12 13:28:00.763, 62, 2392 MHz, 94 %, 0 %, 28.51 W
2026/09/12 13:28:11.865, 62, 2392 MHz, 95 %, 0 %, 28.59 W
2026/09/12 13:28:22.966, 62, 2392 MHz, 94 %, 0 %, 28.77 W
2026/09/12 13:28:34.051, 62, 2392 MHz, 94 %, 0 %, 28.63 W
2026/09/12 13:28:45.149, 62, 2392 MHz, 94 %, 0 %, 29.03 W
2026/09/12 13:28:56.251, 62, 2392 MHz, 94 %, 0 %, 28.71 W
2026/09/12 13:29:07.340, 61, 2392 MHz, 94 %, 0 %, 28.69 W
2026/09/12 13:29:18.437, 62, 2392 MHz, 93 %, 0 %, 29.92 W
2026/09/12 13:29:29.539, 62, 2392 MHz, 94 %, 0 %, 28.59 W
2026/09/12 13:29:40.637, 62, 2392 MHz, 94 %, 0 %, 28.84 W
2026/09/12 13:29:51.727, 62, 2392 MHz, 94 %, 0 %, 28.64 W
2026/09/12 13:30:02.821, 62, 2392 MHz, 94 %, 0 %, 28.66 W
2026/09/12 13:30:13.921, 62, 2392 MHz, 94 %, 0 %, 28.81 W
2026/09/12 13:30:25.021, 62, 2392 MHz, 94 %, 0 %, 28.66 W
2026/09/12 13:30:36.112, 62, 2392 MHz, 95 %, 0 %, 28.72 W
2026/09/12 13:30:47.207, 62, 2392 MHz, 95 %, 0 %, 28.80 W
2026/09/12 13:30:58.310, 62, 2392 MHz, 94 %, 0 %, 28.46 W
2026/09/12 13:31:09.402, 62, 2392 MHz, 94 %, 0 %, 28.52 W
2026/09/12 13:31:20.496, 62, 2392 MHz, 95 %, 0 %, 28.85 W
2026/09/12 13:31:31.586, 62, 2392 MHz, 94 %, 0 %, 28.81 W
2026/09/12 13:31:42.683, 62, 2392 MHz, 94 %, 0 %, 28.39 W
2026/09/12 13:31:53.783, 62, 2392 MHz, 94 %, 0 %, 28.60 W
2026/09/12 13:32:04.881, 62, 2392 MHz, 94 %, 0 %, 28.72 W
2026/09/12 13:32:15.979, 62, 2392 MHz, 94 %, 0 %, 28.87 W
2026/09/12 13:32:27.068, 62, 2392 MHz, 94 %, 0 %, 28.74 W
2026/09/12 13:32:38.166, 62, 2392 MHz, 94 %, 0 %, 28.98 W
2026/09/12 13:32:49.262, 62, 2392 MHz, 95 %, 0 %, 28.77 W
2026/09/12 13:33:00.347, 62, 2392 MHz, 94 %, 0 %, 28.83 W
2026/09/12 13:33:11.445, 62, 2392 MHz, 94 %, 0 %, 28.80 W
2026/09/12 13:33:22.550, 62, 2392 MHz, 94 %, 0 %, 29.00 W
2026/09/12 13:33:33.637, 62, 2385 MHz, 94 %, 0 %, 28.95 W
2026/09/12 13:33:44.728, 63, 2385 MHz, 95 %, 0 %, 29.27 W
2026/09/12 13:33:55.822, 62, 2385 MHz, 94 %, 0 %, 29.11 W
2026/09/12 13:34:06.922, 63, 2385 MHz, 94 %, 0 %, 29.17 W
2026/09/12 13:34:18.011, 62, 2392 MHz, 94 %, 0 %, 28.76 W
2026/09/12 13:34:29.113, 62, 2392 MHz, 95 %, 0 %, 28.84 W
2026/09/12 13:34:40.200, 62, 2392 MHz, 94 %, 0 %, 28.86 W
2026/09/12 13:34:51.312, 62, 2392 MHz, 94 %, 0 %, 28.90 W
2026/09/12 13:35:02.408, 62, 2392 MHz, 95 %, 0 %, 28.76 W
2026/09/12 13:35:13.499, 62, 2392 MHz, 94 %, 0 %, 28.68 W
2026/09/12 13:35:24.594, 62, 2392 MHz, 95 %, 0 %, 28.78 W
2026/09/12 13:35:35.686, 62, 2385 MHz, 93 %, 0 %, 28.86 W
2026/09/12 13:35:46.782, 63, 2385 MHz, 93 %, 0 %, 30.14 W
2026/09/12 13:35:57.877, 63, 2385 MHz, 94 %, 0 %, 29.29 W
2026/09/12 13:36:08.968, 63, 2385 MHz, 94 %, 0 %, 29.10 W
2026/09/12 13:36:20.055, 63, 2385 MHz, 94 %, 0 %, 29.10 W
2026/09/12 13:36:31.149, 62, 2385 MHz, 94 %, 0 %, 29.04 W
2026/09/12 13:36:42.240, 63, 2385 MHz, 94 %, 0 %, 29.06 W
2026/09/12 13:36:53.332, 63, 2385 MHz, 94 %, 0 %, 29.05 W
2026/09/12 13:37:04.428, 62, 2385 MHz, 94 %, 0 %, 28.79 W
2026/09/12 13:37:15.517, 62, 2385 MHz, 94 %, 0 %, 29.02 W
2026/09/12 13:37:26.614, 63, 2385 MHz, 95 %, 0 %, 29.37 W
2026/09/12 13:37:37.711, 63, 2385 MHz, 94 %, 0 %, 29.23 W
2026/09/12 13:37:48.797, 62, 2385 MHz, 94 %, 0 %, 28.88 W
2026/09/12 13:37:59.906, 62, 2385 MHz, 94 %, 0 %, 29.18 W
2026/09/12 13:38:10.994, 62, 2385 MHz, 93 %, 0 %, 28.92 W
2026/09/12 13:38:22.093, 62, 2385 MHz, 94 %, 0 %, 29.05 W
2026/09/12 13:38:33.185, 62, 2392 MHz, 95 %, 0 %, 29.77 W
2026/09/12 13:38:44.272, 62, 2392 MHz, 94 %, 0 %, 28.66 W
2026/09/12 13:38:55.371, 62, 2392 MHz, 95 %, 0 %, 28.79 W
2026/09/12 13:39:06.463, 62, 2385 MHz, 94 %, 0 %, 29.92 W
2026/09/12 13:39:17.558, 62, 2392 MHz, 94 %, 0 %, 28.79 W
2026/09/12 13:39:28.656, 62, 2392 MHz, 94 %, 0 %, 28.62 W
2026/09/12 13:39:39.750, 62, 2392 MHz, 94 %, 0 %, 28.92 W
2026/09/12 13:39:50.858, 62, 2392 MHz, 95 %, 0 %, 28.67 W
2026/09/12 13:40:01.958, 62, 2392 MHz, 94 %, 0 %, 28.72 W
2026/09/12 13:40:13.050, 62, 2392 MHz, 95 %, 0 %, 28.66 W
2026/09/12 13:40:24.151, 62, 2392 MHz, 93 %, 0 %, 29.84 W
2026/09/12 13:40:35.246, 62, 2392 MHz, 94 %, 0 %, 28.78 W
2026/09/12 13:40:46.349, 62, 2392 MHz, 94 %, 0 %, 28.81 W
2026/09/12 13:40:57.435, 62, 2392 MHz, 94 %, 0 %, 28.71 W
2026/09/12 13:41:08.532, 62, 2392 MHz, 94 %, 0 %, 28.73 W
2026/09/12 13:41:19.620, 62, 2392 MHz, 94 %, 0 %, 28.72 W
2026/09/12 13:41:30.708, 62, 2392 MHz, 94 %, 0 %, 28.71 W
2026/09/12 13:41:41.796, 62, 2392 MHz, 94 %, 0 %, 28.40 W
2026/09/12 13:41:52.890, 62, 2392 MHz, 94 %, 0 %, 28.50 W
2026/09/12 13:42:03.979, 62, 2392 MHz, 94 %, 0 %, 28.65 W
2026/09/12 13:42:15.070, 62, 2392 MHz, 95 %, 0 %, 28.77 W
2026/09/12 13:42:26.161, 62, 2392 MHz, 94 %, 0 %, 28.61 W
2026/09/12 13:42:37.246, 62, 2392 MHz, 94 %, 0 %, 28.53 W
2026/09/12 13:42:48.344, 62, 2392 MHz, 94 %, 0 %, 28.36 W
2026/09/12 13:42:59.440, 62, 2392 MHz, 95 %, 0 %, 28.36 W
2026/09/12 13:43:10.529, 62, 2392 MHz, 94 %, 0 %, 28.55 W
2026/09/12 13:43:21.624, 62, 2392 MHz, 94 %, 0 %, 28.53 W
2026/09/12 13:43:32.714, 62, 2392 MHz, 94 %, 0 %, 28.58 W
2026/09/12 13:43:43.811, 62, 2392 MHz, 94 %, 0 %, 28.67 W
2026/09/12 13:43:54.902, 62, 2392 MHz, 95 %, 0 %, 28.81 W
2026/09/12 13:44:06.002, 62, 2392 MHz, 94 %, 0 %, 28.63 W
2026/09/12 13:44:17.092, 62, 2392 MHz, 94 %, 0 %, 28.58 W
2026/09/12 13:44:28.176, 62, 2392 MHz, 94 %, 0 %, 28.53 W
2026/09/12 13:44:39.270, 62, 2392 MHz, 94 %, 0 %, 28.69 W
2026/09/12 13:44:50.370, 62, 2392 MHz, 94 %, 0 %, 28.89 W
2026/09/12 13:45:01.463, 62, 2392 MHz, 94 %, 0 %, 28.70 W
2026/09/12 13:45:12.558, 62, 2392 MHz, 94 %, 0 %, 28.82 W
2026/09/12 13:45:23.654, 62, 2392 MHz, 94 %, 0 %, 28.88 W
2026/09/12 13:45:34.745, 62, 2392 MHz, 94 %, 0 %, 28.53 W
2026/09/12 13:45:45.839, 62, 2392 MHz, 94 %, 0 %, 28.71 W
2026/09/12 13:45:56.942, 63, 2392 MHz, 93 %, 0 %, 29.97 W
2026/09/12 13:46:08.048, 62, 2392 MHz, 94 %, 0 %, 28.74 W
2026/09/12 13:46:19.141, 62, 2392 MHz, 94 %, 0 %, 28.61 W
2026/09/12 13:46:30.240, 62, 2392 MHz, 94 %, 0 %, 28.67 W
2026/09/12 13:46:41.339, 62, 2392 MHz, 94 %, 0 %, 28.76 W
2026/09/12 13:46:52.434, 62, 2392 MHz, 94 %, 0 %, 28.70 W
2026/09/12 13:47:03.533, 62, 2392 MHz, 94 %, 0 %, 28.92 W
2026/09/12 13:47:14.626, 62, 2392 MHz, 94 %, 0 %, 28.80 W
2026/09/12 13:47:25.723, 62, 2392 MHz, 94 %, 0 %, 28.82 W
2026/09/12 13:47:36.812, 62, 2392 MHz, 94 %, 0 %, 28.53 W
2026/09/12 13:47:47.908, 62, 2392 MHz, 94 %, 0 %, 28.88 W
2026/09/12 13:47:59.014, 62, 2392 MHz, 94 %, 0 %, 28.79 W
2026/09/12 13:48:10.111, 62, 2392 MHz, 94 %, 0 %, 28.83 W
2026/09/12 13:48:21.215, 62, 2385 MHz, 94 %, 0 %, 28.96 W
2026/09/12 13:48:32.302, 62, 2385 MHz, 94 %, 0 %, 28.93 W
2026/09/12 13:48:43.411, 62, 2392 MHz, 95 %, 0 %, 28.83 W
2026/09/12 13:48:54.513, 62, 2392 MHz, 94 %, 0 %, 28.65 W
2026/09/12 13:49:05.619, 62, 2392 MHz, 94 %, 0 %, 28.80 W
2026/09/12 13:49:16.713, 62, 2392 MHz, 94 %, 0 %, 28.90 W
2026/09/12 13:49:27.804, 62, 2392 MHz, 94 %, 0 %, 28.75 W
2026/09/12 13:49:38.899, 62, 2392 MHz, 93 %, 0 %, 28.67 W
2026/09/12 13:49:49.996, 62, 2392 MHz, 94 %, 0 %, 28.62 W
2026/09/12 13:50:01.092, 62, 2392 MHz, 93 %, 0 %, 28.71 W
2026/09/12 13:50:12.185, 62, 2392 MHz, 93 %, 0 %, 28.81 W
2026/09/12 13:50:23.281, 62, 2392 MHz, 94 %, 0 %, 28.81 W
2026/09/12 13:50:34.373, 62, 2392 MHz, 94 %, 0 %, 28.91 W
2026/09/12 13:50:45.457, 63, 2392 MHz, 94 %, 0 %, 28.92 W
2026/09/12 13:50:56.555, 63, 2392 MHz, 94 %, 0 %, 28.79 W
2026/09/12 13:51:07.649, 63, 2392 MHz, 95 %, 0 %, 28.63 W
2026/09/12 13:51:18.746, 62, 2392 MHz, 94 %, 0 %, 29.10 W
2026/09/12 13:51:29.846, 63, 2392 MHz, 93 %, 0 %, 28.90 W
2026/09/12 13:51:40.936, 62, 2392 MHz, 94 %, 0 %, 28.80 W
2026/09/12 13:51:52.016, 63, 2385 MHz, 95 %, 0 %, 30.25 W
2026/09/12 13:52:03.112, 63, 2392 MHz, 94 %, 0 %, 29.11 W
2026/09/12 13:52:14.209, 63, 2392 MHz, 94 %, 0 %, 29.11 W
2026/09/12 13:52:25.301, 63, 2392 MHz, 94 %, 0 %, 29.00 W
2026/09/12 13:52:36.403, 62, 2392 MHz, 93 %, 0 %, 28.80 W
2026/09/12 13:52:47.490, 63, 2392 MHz, 94 %, 0 %, 28.76 W
2026/09/12 13:52:58.577, 63, 2392 MHz, 94 %, 0 %, 28.75 W
2026/09/12 13:53:09.670, 63, 2385 MHz, 94 %, 0 %, 29.33 W
2026/09/12 13:53:20.778, 63, 2392 MHz, 94 %, 0 %, 29.98 W
2026/09/12 13:53:31.869, 62, 2392 MHz, 94 %, 0 %, 28.80 W
2026/09/12 13:53:42.960, 62, 2392 MHz, 94 %, 0 %, 28.85 W
2026/09/12 13:53:54.054, 62, 2392 MHz, 94 %, 0 %, 28.83 W
2026/09/12 13:54:05.139, 63, 2392 MHz, 94 %, 0 %, 28.69 W
2026/09/12 13:54:16.234, 62, 2392 MHz, 93 %, 0 %, 28.65 W
2026/09/12 13:54:27.328, 62, 2392 MHz, 94 %, 0 %, 28.86 W
2026/09/12 13:54:38.433, 62, 2392 MHz, 94 %, 0 %, 28.96 W
2026/09/12 13:54:49.529, 62, 2392 MHz, 94 %, 0 %, 28.85 W
2026/09/12 13:55:00.622, 62, 2392 MHz, 95 %, 0 %, 28.59 W
2026/09/12 13:55:11.715, 62, 2392 MHz, 93 %, 0 %, 28.84 W
2026/09/12 13:55:22.807, 62, 2392 MHz, 95 %, 0 %, 29.01 W
2026/09/12 13:55:33.907, 62, 2392 MHz, 94 %, 0 %, 28.91 W
2026/09/12 13:55:44.996, 62, 2392 MHz, 94 %, 0 %, 28.38 W
2026/09/12 13:55:56.094, 62, 2392 MHz, 94 %, 0 %, 28.77 W
2026/09/12 13:56:07.188, 62, 2392 MHz, 93 %, 0 %, 28.80 W
2026/09/12 13:56:18.283, 62, 2392 MHz, 95 %, 0 %, 28.76 W
2026/09/12 13:56:29.372, 62, 2392 MHz, 94 %, 0 %, 29.12 W
2026/09/12 13:56:40.464, 62, 2392 MHz, 94 %, 0 %, 28.79 W
